master_id,year,volume,author,subject,title,year_start,year_end,notes,In PDF?
MASTER_00439,1922,NS 53,Heidenstem,geology and hydrology,"Growth of the Yangtze delta, The *",1922,1922,,
MASTER_00440,1922,NS 53,Hutson J.,"arts, archaeology, history and social customs","Shuh country, The",1922,1922,,
MASTER_00441,1922,NS 53,"Edgar, J. H.",ethnology and anthropology,Notes on names of non - Chinese tribes in Western Szechwan,1922,1922,,
MASTER_00442,1922,NS 53,"Edgar, J. H.",religion,Note on Chiang sacrifice and litholatry,1922,1922,,
MASTER_00443,1922,NS 53,"Ferguson, J. C.",literature and language,""" Fir - flower Tablets """,1922,1922,,
MASTER_00444,1922,NS 53,"Hudson, E.",literature and language,Lan - tsih *,1922,1922,,
MASTER_00445,1922,NS 53,"Gaunt, T.",literature and language,Ling Yin monastery poem,1922,1922,,
MASTER_00446,1922,NS 53,"Norin, E.",geology,Notes on the coal and Iron Ore deposits of Central Shansi,1922,1922,,
MASTER_00447,1922,NS 53,"Hers, J.",botany,Chinese names of plants ; a preliminary list of the trees and shrubs of North Honan,1922,1922,,
MASTER_00448,1922,NS 53,"Jacot, A. P.",zoology,"Oribatoidae Sinensis, Part I",1922,1922,,
MASTER_00449,1922,NS 53,"Sjolander, D.",zoology,"Distribution and habits of the Argali sheep of Central Asia, The *",1922,1922,,
MASTER_00450,1922,NS 53,"Cowdry, N. H.",botany,Plants from Peitaiho,1922,1922,,
MASTER_00451,1922,NS 53,"Skvortzow, B. W.","agriculture, botany and zoology","Notes on the agriculture, botany and the zoology of China, Sections xlvii - xlix *",1922,1922,,
MASTER_00452,1922,NS 53,"Riley, J. H. and Richmond, C. W.",zoology,"Partial bibliography of Chinese birds, A",1922,1922,,
MASTER_00453,1922,NS 53,"Werner, E. T. C.",Christianity,"Christ in the "" Li Tai Shen Hsien Tung Chien "" *",1922,1922,,
MASTER_00454,1923,NS 54,"Budd, C.",literature and language,"Snowstorm, A",1923,1923,,
MASTER_00455,1923,NS 54,"Jamieson, C. A.",literature and language,Chu - goh Leang and the arrows,1923,1923,,
MASTER_00456,1923,NS 54,"Hudson, E.",literature and language,"Drought, The",1923,1923,,
MASTER_00457,1923,NS 54,"Hudson, E.",literature and language,Then and now,1923,1923,,
MASTER_00458,1923,NS 54,"Hudson, E.",literature and language,"Night in the mountains, A",1923,1923,,
MASTER_00459,1923,NS 54,"Stael - Holstein, Baron A. von",Buddhism,Hsuan - tsang and modern research,1923,1923,,
MASTER_00460,1923,NS 54,Hutson J.,"arts, archaeology, history and social customs",The Shuh country,1923,1923,,
MASTER_00461,1923,NS 54,"Ferguson, J. C.",arts and archaeology,"Culture, the basis of Chinese art",1923,1923,,
MASTER_00462,1923,NS 54,"Chatley, H.",miscellaneous,Science in old China *,1923,1923,,
MASTER_00463,1923,NS 54,"Fischer, E. S.",travel and general descriptions,Modern travel from Tai Yuan Fu via Mount Wu Tai to the Mongolian frontier,1923,1923,,
MASTER_00464,1923,NS 54,"Darroch, J.",biographical history and individuals of history,A page of ancient Chinese history,1923,1923,,
MASTER_00465,1923,NS 54,"Ayscough, F. W.",travel and general descriptions,"Preliminary notes on the literary background of the "" Great River """,1923,1923,,
MASTER_00466,1923,NS 54,"Torrance, T.",religion,"Religion of the Ch'iang, The *",1923,1923,,
MASTER_00467,1923,NS 54,"Jacot, A. P.",zoology,"Oribatoidae Sinensis, Part II",1923,1923,,
MASTER_00468,1923,NS 54,"Heeren, J. J.",Christianity,Bishop Della Chiesa and the story of his lost grave *,1923,1923,,
MASTER_00469,1923,NS 54,"Kliene, C.",ethnology and anthropology,Some similarities in Chinese and ancient Egyptian culture,1923,1923,,
MASTER_00470,1923,NS 54,"Riley, J. H. and Richmond, C. W.",zoology,"Partial bibliography of Chinese birds, A (complementary to the List given in Vol 53, pp. 196-237)",1923,1923,,
MASTER_00471,1923,NS 54,"Morgan, E.",social customs,How tonnage was measured in ancient China,1923,1923,,
MASTER_00472,1923,NS 54,"Morgan, E.",Taoism,"Taoist superman, The",1923,1923,,
MASTER_00473,1923,NS 54,"Shirokogoroff, S. M.",religion,General theory of shamanism among the Tungus,1923,1923,,
MASTER_00474,1923,NS 54,"Werner, E. T. C.",religion,Chinese composite deities,1923,1923,,
MASTER_00475,1924,NS 55,"Shirokogoroff, S. M.",ethnology and anthropology,Who are the Northern Chinese ?,1924,1924,,
MASTER_00476,1924,NS 55,"Ferguson, J. C.",ethnology and anthropology,Southern Migration of the Sung Dynasty,1924,1924,,
MASTER_00477,1924,NS 55,"Warren, G. G.",philosophy,Was Chu Hsi a materialist ?,1924,1924,,
MASTER_00478,1924,NS 55,"Chatley, H.",folklore,"Dead Hand in China, The",1924,1924,,
MASTER_00479,1924,NS 55,"Torrance, T.",agriculture,Origin and history of the irrigation work of the Chengtu Plain,1924,1924,,
MASTER_00480,1924,NS 55,"Torrance, T.",geography and travels - Asia,History of Shuh a free translation of the Shuh Chi,1924,1924,,
MASTER_00481,1924,NS 55,"Jacot, A. P.",zoology,"Oribatoidea Sinensis, Part III",1924,1924,,
MASTER_00482,1924,NS 55,"Hayes, L. N.",religion of China,"Gods of the Chinese, The",1924,1924,,
MASTER_00483,1924,NS 55,"Mironov, N. D. and Shirokogoroff, S. M.",folklore,Sramana - Shaman,1924,1924,,
MASTER_00484,1924,NS 55,"Ayscough, F. W.",religion of China and folklore,Cult of the Ch'eng Huang Lao Yeh,1924,1924,,
