master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,model,K,dominant_topic,dominant_topic_weight
MASTER_00259,1869_11.txt,Wei - ch ' i *,"Volpicelli, Z. H.",1891,1890s,Anthropology and Social Customs,Manners and customs,en,0.04603562470249815,0.014954976993526789,0.002602525750456229,0.21439628957745172,0.0,0.0,0.0,0.00043645636237512817,0.01915663274532481,0.1711444303097488,0.5036661224795799,0.0,0.0,0.0,0.0,0.0,0.0,0.004462946239849299,0.023143994839189528,0.0,nmf,20,10,0.5036661224795799
MASTER_00109,1869_12_retrospects_of_events.txt,"Retrospect of events in China and Japan, 1869, 1870",,1869,1860s,History and Chronology,"History, Modern (20th century)",en,0.05554912168450451,0.02994434022515942,0.061219277979864296,0.0,0.008479388033609729,0.0,0.0020688016603632865,0.6767039887562685,0.035179049644350494,0.04321820000747054,0.0,0.0,0.00778877379985365,0.0,0.0,0.0,0.05418966535009167,0.0,0.0017109830855341448,0.023948409772929922,nmf,20,7,0.6767039887562685
MASTER_00126,1874_01.txt,Recollections of China prior to 1840,"Williams, S. W.",1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.0,0.04999319803945099,0.21384831483056943,0.0,0.0,0.0,0.0,0.4125235253649179,0.0,0.0051739197292023,0.0,0.0,0.0,0.0,0.0,0.0275414616522736,0.17902909817417426,0.11189048220941161,0.0,0.0,nmf,20,7,0.4125235253649179
MASTER_00127,1874_02.txt,"The legend of Wen Wang, founder of the dynasty of the Chows in China","Kingsmill, T. W.",1873,1870s,History and Chronology,Biography,en,0.15283966855166992,0.0,0.0,0.006846119628413638,0.0,0.009356196855095932,0.7770518674506712,0.0,0.0,0.018832275183969547,0.03507387233017977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,6,0.7770518674506712
MASTER_00128,1874_03.txt,Extracts from the history of Shanghai,"Schmidt, C.",1873,1870s,History and Chronology,History,en,0.03591744099887844,0.16256878634366947,0.0,0.23994521434184782,0.0,0.0,0.039428087822075165,0.23862715298350629,0.0,0.0,0.24716421991792395,0.0,0.0,0.0,0.0,0.0,0.01559461907253934,0.0,0.0,0.02075447851955953,nmf,20,10,0.24716421991792395
MASTER_00129,1874_04.txt,Chinese fox - myths,"Watters, T.",1873,1870s,Anthropology and Social Customs,Mythology,en,0.10389462807835105,0.0,0.0,0.016179573661468275,0.0,0.0,0.10250505258764071,0.0,0.0,0.1807277858513291,0.05253089674609998,0.00043257762095929,0.0,0.025184202283695573,0.0010792616174578387,0.007874044011858998,0.3478339964005394,0.0,0.08161003063534829,0.08014795050525138,nmf,20,16,0.3478339964005394
MASTER_00130,1874_05.txt,Brief account of the French Expedition of 1866 into Indo - China,"Viguier, S. A.",1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.0,0.2917478967754219,0.10049398278764941,0.0,0.0,0.0,0.01907796167890585,0.18137064602905414,0.0,0.0,0.0,0.0,0.0,0.39946143564611847,0.007848077082850121,0.0,0.0,0.0,0.0,0.0,nmf,20,13,0.39946143564611847
MASTER_00131,1874_06.txt,"Visit to the city of Confucius, A","Edkins, J.",1873,1870s,Religion and Philosophy,Confucianism,en,0.0,0.16062752694873605,0.01453459772520605,0.005475094007978501,0.0042628645001011435,0.0,0.0,0.0,0.0,0.1789573047977786,0.5768239382757112,0.018436307928506188,0.0,0.0,0.007392585213460301,0.0,0.03220377662056508,0.0012860039819569272,0.0,0.0,nmf,20,10,0.5768239382757112
MASTER_00132,1874_07.txt,Short notes on Chinese instruments of music *,"Dennys, N. B.",1873,1870s,Arts and Archaeology,Music,en,0.0,0.0,0.0,0.0911969807573003,0.030656197284091257,0.0,0.06988889802596894,0.0,0.021787205982590395,0.0,0.0835062623573725,0.1908242830249451,0.0,0.009713794829567036,0.0,0.0,0.24821769554834683,0.05798596684760619,0.004060887224757502,0.19216182811745383,nmf,20,16,0.24821769554834683
MASTER_00133,1874_08.txt,"Stone drums of the Chou Dynasty, The *","Bushell, S. W.",1873,1870s,Arts and Archaeology,Archaeology,en,0.0,0.0,0.06639029211996961,0.3361582386263317,0.012090890665839779,0.033975560031776174,0.05630572805766223,0.0,0.014426915046008753,0.0,0.12834344413395507,0.00025006661060629005,0.0,0.10033391493853648,0.0072330141192290115,0.0,0.0308493328208431,0.0,0.026573319006528408,0.18706928382271332,nmf,20,3,0.3361582386263317
MASTER_00134,1874_09_retrospects_of_events.txt,"Retrospect of events in China, 1873",Editorial Committee,1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.04070840679752788,0.06673521513589308,0.09657439295651012,0.0017006088109564061,0.0,0.022155943687347093,0.014056072647656587,0.08213423751874527,0.004944582354304943,0.014597949854276723,0.03415644373838795,0.0,0.018665268786426287,0.43344287669508486,0.011881141538043654,0.009149949756042096,0.0850337411172668,0.01146674469975271,0.0038862196771683455,0.04871020422860924,nmf,20,13,0.43344287669508486
MASTER_00154,1878_01.txt,On the Stone figures at Chinese tombs and the offering of living sacrifices,"Mayers, W. F.",1877,1870s,Anthropology and Social Customs,Manners and customs,en,0.026830638013817645,0.0,0.04952090325517168,0.19972325193343912,0.0,0.01891663346841037,0.056326464281187275,0.0,0.0,0.0,0.4514793789825476,0.0,0.0,0.02554620806434483,0.0027825635680517337,0.0,0.0,0.0,0.025864228745176087,0.14300972968785372,nmf,20,10,0.4514793789825476
MASTER_00155,1878_02.txt,The Comparative study of Chinese dialects,"Parker, E. H.",1877,1870s,Literature and Language,Literature,en,0.0,0.0,0.10740434206037845,0.43254135773559954,0.0,0.0,0.0023203287605078958,0.0,0.0,0.0,0.0,0.007621970011574532,0.0,0.21776031001943857,0.006338347045343571,0.0,0.137171887477743,0.021342025540606328,0.06749943134880815,0.0,nmf,20,3,0.43254135773559954
MASTER_00156,1878_03.txt,"Droughts in China, A. D. 620-1643","Hosie, A.",1877,1870s,Natural Sciences,Meteorology,en,0.0018933093063893507,0.06112064049041556,0.0,0.05444173601233892,0.0,0.0,0.0,0.0,0.08602043357207892,0.0,0.011786092623761638,0.004147315521943235,0.3951816886429155,0.0,0.0,0.0,0.0,0.036322797318518146,0.34908598651163886,0.0,nmf,20,12,0.3951816886429155
MASTER_00157,1878_04.txt,"Sunspots and sun - shadows observed in China, B. C. 28 - A. D. 1617","Hosie, A.",1877,1870s,Natural Sciences,Astronomy,en,0.0,0.0,0.0,0.0,0.0,0.0,0.03338552242083513,0.0,0.0,0.0,0.0,0.031765157132936886,0.39360557867174395,0.4465427068334221,0.0,0.06273605332447527,0.0,0.0,0.031964981616586674,0.0,nmf,20,13,0.4465427068334221
MASTER_00158,1878_05.txt,"The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king ""","Kingsmill, T. W.",1877,1870s,Religion and Philosophy,Religion,en,0.0397762078926049,0.0,0.0,0.1250529136647465,0.0,0.0030674949300512518,0.7426198544598333,0.0,0.0,0.08367374153794148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005809787514822656,0.0,0.0,nmf,20,6,0.7426198544598333
