master_id,filename,title,year,decade,L1,L2,model_include,model_exclusion_reason,model_unigram_count_before_df,model_token_count_before_df,model_token_count_after_df,cleaned_full_text_path,analysis_text_path
MASTER_00159,1878_06.txt,The Climate of Eastern Asia,1877,1870s,Natural Sciences,Meteorology,True,,15972,47913,13932,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1878_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1878_06.txt
,1880_01.txt,,1880,1880s,,,True,,5195,15582,4271,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1880_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1880_01.txt
MASTER_00165,1880_02.txt,Rock inscriptions at the north side of Yentai Hill *,1879,1870s,Arts and Archaeology,Antiquities,True,,354,1059,312,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1880_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1880_02.txt
MASTER_00167,1880_03.txt,Early European researches into the flora of China,1880,1880s,Natural Sciences,Botany,True,,42463,127386,27076,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1880_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1880_03.txt
MASTER_00167,1880_04.txt,Early European researches into the flora of China,1880,1880s,Natural Sciences,Botany,True,,36992,110973,22727,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1880_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1880_04.txt
MASTER_00179,1883_01.txt,What did the ancient Chinese know of the Greeks and Romans,1883,1880s,History and Chronology,History,True,,3387,10158,2643,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1883_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1883_01.txt
MASTER_00180,1883_02.txt,Corea,1883,1880s,Anthropology and Social Customs,Manners and customs,True,,1798,5391,1539,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1883_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1883_02.txt
MASTER_00181,1883_03.txt,Researches into the geology of Formosa *,1883,1880s,Natural Sciences,Geology,True,,2617,7848,2051,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1883_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1883_03.txt
MASTER_00182,1883_04.txt,Fragmens d'un voyage dans l'interieur de la Chine,1883,1880s,Geography and Travel,Travel,True,,15783,47346,9003,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1883_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1883_04.txt
MASTER_00180,1883_05.txt,Corea,1883,1880s,Anthropology and Social Customs,Manners and customs,True,,2629,7884,2126,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1883_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1883_05.txt
MASTER_00185,1883_06.txt,Samshu - brewing in North China,1883,1880s,Natural Sciences,Agriculture,True,,2913,8736,2430,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1883_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1883_06.txt
,1885_01.txt,,1885,1880s,,,True,,3587,10758,2962,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1885_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1885_01.txt
MASTER_00206,1885_02.txt,The Prevalence of infanticide in China,1885,1880s,Anthropology and Social Customs,Manners and customs,True,,4181,12540,3379,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1885_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1885_02.txt
MASTER_00201,1885_03.txt,The Mystery of Ta - ts ' in,1885,1880s,Geography and Travel,Geography,True,,1911,5730,1484,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1885_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1885_03.txt
MASTER_00259,1885_04.txt,Wei - ch ' i *,1891,1890s,Anthropology and Social Customs,Manners and customs,True,,2162,6483,1701,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1885_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1885_04.txt
MASTER_00207,1885_05.txt,What is filial piety ?,1885,1880s,Anthropology and Social Customs,Manners and customs,True,,4923,14766,4045,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1885_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1885_05.txt
,1885_06.txt,,1885,1880s,,,True,,2932,8793,2267,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1885_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1885_06.txt
MASTER_00205,1885_07.txt,Western appliances in the Chinese printing industry,1885,1880s,Natural Sciences,Agriculture,True,,2644,7929,2256,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1885_07.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1885_07.txt
