L2,rank,term,tfidf_score,raw_count,document_count,document_frequency
Sculpture,4,sculpture,0.008318264014466547,23,1,1.0
Sculpture,5,stone,0.007956600361663653,22,1,1.0
Sculpture,6,uan,0.007233273056057866,20,1,1.0
Sculpture,7,ssu_uan,0.007233273056057866,20,1,1.0
Sculpture,8,statue,0.0065099457504520794,18,1,1.0
Sculpture,9,style,0.006148282097649186,17,1,1.0
Sculpture,10,pillar,0.006148282097649186,17,1,1.0
Sculpture,11,liang,0.006148282097649186,17,1,1.0
Sculpture,12,monuments,0.005786618444846293,16,1,1.0
Sculpture,13,horse,0.005786618444846293,16,1,1.0
Sculpture,14,art,0.0054249547920434,15,1,1.0
Sculpture,15,funeral,0.005063291139240506,14,1,1.0
Sculpture,16,shantung,0.005063291139240506,14,1,1.0
Sculpture,17,tombs,0.004701627486437613,13,1,1.0
Sculpture,18,animal,0.00433996383363472,12,1,1.0
Sculpture,19,tomb,0.003978300180831827,11,1,1.0
Sculpture,20,caves,0.003978300180831827,11,1,1.0
Sculpture,21,honan,0.003616636528028933,10,1,1.0
Sculpture,22,chou,0.003616636528028933,10,1,1.0
Sculpture,23,lions,0.003616636528028933,10,1,1.0
Sculpture,24,century,0.0032549728752260397,9,1,1.0
Sculpture,25,feet,0.0032549728752260397,9,1,1.0
Telecommunication,1,river,0.11002067738312152,403,4,0.8
Telecommunication,2,rockhill,0.08676433234803556,16,1,0.2
Telecommunication,3,canal,0.08025568098694431,179,3,0.6
Telecommunication,4,yunnan,0.061949965810591666,119,2,0.4
Telecommunication,5,trade,0.05999476351389928,179,4,0.8
Telecommunication,6,route,0.04778298231568934,211,4,0.8
Telecommunication,7,tibet,0.039448304923770966,10,2,0.4
Telecommunication,8,cheo,0.038794690001603,430,1,0.2
Telecommunication,9,road,0.036989920091503294,475,4,0.8
Telecommunication,10,yellow,0.032253740361905786,103,3,0.6
Telecommunication,11,kueichou,0.030967037176714448,26,1,0.2
Telecommunication,12,yellow_river,0.030276907639108737,99,3,0.6
Telecommunication,13,shan,0.02980643463026086,107,2,0.4
Telecommunication,14,foo,0.029376899928862433,64,1,0.2
Telecommunication,15,province,0.029035472559678838,192,4,0.8
Telecommunication,16,grand,0.028104856632832666,63,3,0.6
