master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,model,K,dominant_topic,dominant_topic_weight
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860s,Natural Sciences,Astronomy,en,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,corex_unanchored,25,1,1.0
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,"Williams, S. W.",1866,1860s,History and Chronology,History,en,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,corex_unanchored,25,0,1.0
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,"Kingsmill, T. W.",1865,1860s,Natural Sciences,Geology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,corex_unanchored,25,7,1.0
MASTER_00072,1866_08.txt,"Short sketch of the Chinese game of chess, Seang - kh'e, A *","Hollingworth, H. G.",1866,1860s,Anthropology and Social Customs,Manners and customs,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,corex_unanchored,25,0,0.0
MASTER_00071,1866_09_retrospects_of_events.txt,"Retrospect of events in the north of China, 1866","Butcher, C. H.",1866,1860s,History and Chronology,"History, Modern (20th century)",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,corex_unanchored,25,10,1.0
MASTER_00098,1869_01.txt,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius","Markham, J.",1869,1860s,Geography and Travel,Travel,en,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,corex_unanchored,25,1,1.0
MASTER_00099,1869_02.txt,"On Wen - ch'ang, the god of literature, his history and worship","Mayers, W. F.",1869,1860s,Religion and Philosophy,Religion,en,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,corex_unanchored,25,0,1.0
MASTER_00100,1869_03.txt,The Fabulous source of the Hoang-ho,"Eitel, E. J.",1869,1860s,Religion and Philosophy,Buddhism,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,corex_unanchored,25,0,0.0
,1869_04.txt,,,1869,1860s,,,fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,corex_unanchored,25,20,1.0
MASTER_00102,1869_05.txt,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare","Mayers, W. F.",1869,1860s,Military | Natural Sciences,Military art and science | Science,en,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,corex_unanchored,25,0,1.0
