L2,rank,term,tfidf_score
"Associations, institutions, etc.",28,royal,0.0035
"Associations, institutions, etc.",29,edkins,0.0035
"Associations, institutions, etc.",30,held,0.0032500000000000003
Astronomy,1,shadows,0.11608199133612748
Astronomy,2,size,0.11095818627303887
Astronomy,3,year,0.10438222451296691
Astronomy,4,chinese,0.10349782512569793
Astronomy,5,sunspots,0.09671451582599133
Astronomy,6,eclipses,0.09132686276178986
Astronomy,7,recorded,0.08361768678101911
Astronomy,8,spots,0.06784737740683819
Astronomy,9,total,0.0654262185092248
Astronomy,10,cycle,0.061224385782315094
Astronomy,11,black,0.06051465297811202
Astronomy,12,plum,0.058102426530408466
Astronomy,13,occurrence,0.058102426530408466
Astronomy,14,years,0.05808375239725472
Astronomy,15,sun,0.05733529434080775
Astronomy,16,china,0.05607913987240573
Astronomy,17,solar,0.05584430982861934
Astronomy,18,day,0.055721313517032404
Astronomy,19,works,0.0554026183920536
Astronomy,20,observed,0.05472230027306513
Astronomy,21,first,0.053753214333520385
Astronomy,22,two,0.053645708415220164
Astronomy,23,egg,0.05113483512233903
Astronomy,24,cocoons,0.04964030081715081
Astronomy,25,month,0.04640728130584461
Astronomy,26,eclipsed,0.04602215762218412
Astronomy,27,may,0.04384955634290386
Astronomy,28,section,0.04202542853583575
Astronomy,29,one,0.04085483949770576
Astronomy,30,name,0.03950815714002288
Biography,1,wang,0.08983409036072287
Biography,2,tsi,0.08004410774337732
Biography,3,kwo,0.07764278451107601
Biography,4,king,0.06248837482891832
Biography,5,one,0.055413474991114306
Biography,6,emperor,0.05488786530859812
Biography,7,people,0.04954206547561004
Biography,8,chinese,0.04557777632298842
Biography,9,men,0.04536894238227951
Biography,10,duke,0.039276007744093344
Biography,11,yueh,0.039048065312829415
Biography,12,legend,0.038715169691112473
Biography,13,great,0.038493046716221294
Biography,14,said,0.037245815286499354
Biography,15,time,0.03513255168784679
Biography,16,state,0.034670879187114034
Biography,17,mang,0.03200792886448742
Biography,18,government,0.031818255778149854
Biography,19,wushun,0.03164553304619425
Biography,20,would,0.031156529859173034
Biography,21,yaou,0.029008405292344726
Biography,22,army,0.028725612667008075
Biography,23,years,0.02823190618843824
Biography,24,man,0.02818365239988299
Biography,25,shih,0.028147316538884408
Biography,26,son,0.027611112035317555
Biography,27,shun,0.02669336681226952
Biography,28,dynasty,0.02628052864760576
Biography,29,first,0.024857197443856643
Biography,30,chung,0.02443127170231643
Botany,1,det,0.15840854526995019
Botany,2,soochow,0.1571875122907793
Botany,3,linn,0.1330773759123453
Botany,4,china,0.13070548449790717
Botany,5,chinese,0.12161157223317803
Botany,6,leaves,0.11969417838273531
Botany,7,flowers,0.11307443065267517
Botany,8,lour,0.10432499307387612
Botany,9,plants,0.09520034289104266
Botany,10,sin,0.09371085916730876
Botany,11,shu,0.08842895983008409
Botany,12,plant,0.08238204915539028
Botany,13,species,0.07619509232331884
Botany,14,jour,0.07409431956175089
Botany,15,name,0.07368825360987034
Botany,16,osb,0.07363296892829103
Botany,17,var,0.0713912204527285
Botany,18,sorgo,0.06917786910186177
Botany,19,yeh,0.0644248124763282
Botany,20,cochin,0.06439038608068262
Botany,21,names,0.06349655634510008
Botany,22,one,0.05833757023718357
Botany,23,wils,0.05780191986445775
Botany,24,rehd,0.0564072557918463
Botany,25,also,0.053465746376965016
Botany,26,arb,0.05279262953302019
Botany,27,canton,0.05248571204896929
Botany,28,hgk,0.05045771225348922
Botany,29,two,0.048348996989507995
Botany,30,like,0.04811131885142694
Bronzes,1,bronze,0.021857367357629276
Bronzes,2,dynasty,0.020048192771084338
Bronzes,3,figures,0.019952405896879445
Bronzes,4,chinese,0.018714959215744967
Bronzes,5,early,0.017143455810820926
Bronzes,6,figure,0.016865581297297972
Bronzes,7,bronzes,0.015810222255481555
Bronzes,8,forms,0.014952929731347752
Bronzes,9,ideas,0.013988390284994826
Bronzes,10,tripod,0.012515928149732214
Bronzes,11,one,0.01247653969916935
Bronzes,12,two,0.011571653071914989
Bronzes,13,ideographs,0.011043466014469601
Bronzes,14,also,0.010809848088004191
Bronzes,15,inscriptions,0.010307234946838294
Bronzes,16,used,0.009619396842026492
Bronzes,17,earliest,0.00919075057995959
Bronzes,18,made,0.009095562373718478
Bronzes,19,called,0.008952480730374916
Bronzes,20,objects,0.00883477281157568
