from,to,author,subject_l2,subject_l1,time_window,article_count,weight,first_year,last_year,titles
A_48,S_9,The Hankow Times,Hydrology,Natural Sciences,1858-1867,1,1,1867,1867,"Flood in the Han River 1857 "" The Hankow Times """
A_8,S_9,"Ward, J.",Hydrology,Natural Sciences,1858-1867,1,1,1859,1859,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow"
A_20,S_19,"Henderson, J.",Medicine,Natural Sciences,1858-1867,1,1,1864,1864,"Medicine and medical practice of the Chinese, The"
A_18,S_4,"Courtney, C. F. A.",Meteorology,Natural Sciences,1858-1867,1,1,1860,1860,Temperature of Hakodadi
A_17,S_4,Editorial Committee,Meteorology,Natural Sciences,1858-1867,1,1,1860,1860,Winds and weather at Chefoo
A_10,S_4,"Fedorovitch, J.",Meteorology,Natural Sciences,1858-1867,1,1,1859,1859,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai"
A_20,S_4,"Henderson, J.",Meteorology,Natural Sciences,1858-1867,1,1,1864,1864,Notes on some of the physical causes which modify climate
A_26,S_4,Hollingworth and Piry,Meteorology,Natural Sciences,1858-1867,1,1,1864,1864,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan"
A_4,S_4,"Nicolson, F. W.",Meteorology,Natural Sciences,1858-1867,1,1,1858,1858,"On Cyclones , or the Law of Storms"
A_6,S_4,"Shadwell, C. F. A.",Meteorology,Natural Sciences,1858-1867,2,2,1859,1860,Memorandum on the present state of some of the magnetic elements in china and palces adjacent | Supplemental memorandum on the present state of the magnetic elements in China and places adjacent
A_38,S_11,"McCartee, D. B.",Zoology,Natural Sciences,1858-1867,1,1,1866,1866,On some Wild Silkworms of China
A_42,S_11,"Pryer, W. B.",Zoology,Natural Sciences,1858-1867,1,1,1867,1867,Entomology of Shanghai
A_12,S_11,"Swinhoe, R.",Zoology,Natural Sciences,1858-1867,3,3,1859,1865,Notes on some new species of birds found on the island of Formosa | The Small Chinese Lark | Birds and beasts of Formosa
A_3,S_12,"Macgowan, D. J.",Law,"Politics, Government, and Law",1858-1867,1,1,1859,1859,On the Banishment of Criminals in China
A_34,S_12,"Stronach, W. T.",Law,"Politics, Government, and Law",1858-1867,1,1,1864,1864,"Traces of the Judicium dei, or ordeal in Chinese law"
A_1,S_1,"Edkins, J.",Buddhism,Religion and Philosophy,1858-1867,1,1,1858,1858,"A Buddhist Shastra , Translated from the Chinese"
A_23,S_1,"Jamieson, R. A.",Buddhism,Religion and Philosophy,1858-1867,1,1,1864,1864,Remarks upon exhibiting a To - lo Pall to the Society
A_30,S_21,"Brown, S. R.",Christianity,Religion and Philosophy,1858-1867,1,1,1865,1865,Annals of the Western Ocean
A_45,S_21,"Forrest, R. J.",Christianity,Religion and Philosophy,1858-1867,1,1,1867,1867,The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books
A_41,S_21,"Gardener, C. T.",Christianity,Religion and Philosophy,1858-1867,1,1,1867,1867,Trans. Of inscription on tablet at Hangkow recording the changing the T'ien Chu Tang (Roman Catholic Church) into the T'ien Hao Tung *
A_1,S_17,"Edkins, J.",Confucianism,Religion and Philosophy,1858-1867,1,1,1860,1860,A Sketch of the Life of Confucius
A_1,S_8,"Edkins, J.",Philosophy,Religion and Philosophy,1858-1867,1,1,1859,1859,Notices of the character and writings of Meh tsi
A_15,S_8,"John, G.",Philosophy,Religion and Philosophy,1858-1867,1,1,1860,1860,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin"
A_70,S_3,"Bretschneider, E.",Ethnology,Anthropology and Social Customs,1868-1877,1,1,1876,1876,Notices of the mediaeval geography and history of Central and Western Asia *
A_29,S_3,"Kingsmill, T. W.",Ethnology,Anthropology and Social Customs,1868-1877,1,1,1876,1876,Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history
A_3,S_3,"Macgowan, D. J.",Ethnology,Anthropology and Social Customs,1868-1877,1,1,1869,1870,Notes on the Chihkiang Miautsz
A_12,S_3,"Swinhoe, R.",Ethnology,Anthropology and Social Customs,1868-1877,1,1,1871,1872,The Aborigines of Hainan
A_66,S_3,"Taintor, E. C.",Ethnology,Anthropology and Social Customs,1868-1877,1,1,1875,1875,The Aborigines of Northern Formosa
A_56,S_14,"Stent, G. C.",Mythology,Anthropology and Social Customs,1868-1877,1,1,1871,1872,Chinese legends
A_47,S_14,"Watters, T.",Mythology,Anthropology and Social Customs,1868-1877,1,1,1874,1874,Chinese fox - myths
A_38,S_20,"McCartee, D. B.",Antiquities,Arts and Archaeology,1868-1877,1,1,1869,1870,"Trans. of the inscriptions upon a stone tablet commemorating the repairs upon the Ch'eng Hwang Miau, or Temple of the Tutelary Deity of the City"
A_51,S_20,"Medhurst, W. H.",Antiquities,Arts and Archaeology,1868-1877,1,1,1868,1868,"Tablet of Y<U+00FC>, The"
A_64,S_23,"Bushell, S. W.",Archaeology,Arts and Archaeology,1868-1877,1,1,1874,1874,"Stone drums of the Chou Dynasty, The *"
A_57,S_23,"Thompson, J.",Archaeology,Arts and Archaeology,1868-1877,1,1,1871,1872,On the Antiquities of Cambodia
A_63,S_7,"Dennys, N. B.",Music,Arts and Archaeology,1868-1877,1,1,1874,1874,Short notes on Chinese instruments of music *
A_49,S_7,"Jenkins, B.",Music,Arts and Archaeology,1868-1877,1,1,1868,1868,Notions of the ancient Chinese respecting music
A_56,S_7,"Stent, G. C.",Music,Arts and Archaeology,1868-1877,1,1,1871,1872,Chinese lyrics
A_46,S_28,"Simon, G. E.",Economics,"Economy, Trade, and Technology",1868-1877,2,2,1868,1870,Note sur les petites societes d'argent en Chine | Sur les Institutions de Cr<U+00E9>dit en Chine
A_54,S_10,"Moule, G. E.",Education,Education,1868-1877,1,1,1869,1870,"Notes on the provincial examination of Chekiang, 1870, with a version of one of the essays"
A_68,S_31,"Palladius, A.",Geography,Geography and Travel,1868-1877,1,1,1876,1876,"Elucidations of Marco Polo's travels in North China, drawn from Chinese sources"
A_69,S_5,"Holcombe, C.",Travel,Geography and Travel,1868-1877,1,1,1876,1876,Notes made on a tour through Shan - hsi and Shen - hsi
A_52,S_5,"Markham, J.",Travel,Geography and Travel,1868-1877,1,1,1869,1870,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius"
A_12,S_5,"Swinhoe, R.",Travel,Geography and Travel,1868-1877,1,1,1871,1872,Narrative of an exploring visit to Hainan
A_2,S_5,"Wylie, A.",Travel,Geography and Travel,1868-1877,1,1,1868,1868,"Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se"
A_29,S_29,"Kingsmill, T. W.",Biography,History and Chronology,1868-1877,1,1,1874,1874,"The legend of Wen Wang, founder of the dynasty of the Chows in China"
