time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Geography and Travel,Travel,russian,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,manchuria,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Arts and Archaeology,Antiquities,kwan,1,1,0.1,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,condition,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,hang,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,chow,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,bay,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,islands,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Literature and Language,Literature,american,1,1,0.0625,2.203972804325936,2.203972804325936
1858-1867,Literature and Language,Literature,mission,1,1,0.0625,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,agricultural,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,mongols,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Literature and Language,Literature,character,1,1,0.0625,2.203972804325936,2.203972804325936
1858-1867,Literature and Language,Literature,lan,1,1,0.0625,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Agriculture,respecting,1,1,0.05263157894736842,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Manners and customs,funeral,1,1,0.09090909090909091,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Manners and customs,rites,1,1,0.09090909090909091,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Chemistry,water,1,1,0.3333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Chemistry,use,1,1,0.3333333333333333,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,chefoo,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,via,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,grand,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,canal,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Geography and Travel,Travel,chow,1,1,0.016666666666666666,2.203972804325936,2.203972804325936
1858-1867,Arts and Archaeology,Architecture,description,1,1,0.2,2.203972804325936,2.203972804325936
1858-1867,Arts and Archaeology,Architecture,examination,1,1,0.2,2.203972804325936,2.203972804325936
1858-1867,Arts and Archaeology,Architecture,hall,1,1,0.2,2.203972804325936,2.203972804325936
1858-1867,History and Chronology,History,intercourse,1,1,0.2,2.203972804325936,2.203972804325936
1858-1867,History and Chronology,History,lewchew,1,1,0.2,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Manners and customs,short,1,1,0.09090909090909091,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Manners and customs,sketch,1,1,0.09090909090909091,2.203972804325936,2.203972804325936
1858-1867,Anthropology and Social Customs,Manners and customs,game,1,1,0.09090909090909091,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Geology,hankow,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Geology,hunan,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Religion and Philosophy,Christianity,chu,1,1,0.041666666666666664,2.203972804325936,2.203972804325936
1858-1867,Religion and Philosophy,Christianity,catholic,1,1,0.041666666666666664,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Agriculture,communications,1,1,0.05263157894736842,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Agriculture,mineral,1,1,0.05263157894736842,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Zoology,entomology,1,1,0.07142857142857142,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,water,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,grand,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Hydrology,canal,1,1,0.03333333333333333,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Astronomy,recorded,1,1,0.07142857142857142,2.203972804325936,2.203972804325936
1858-1867,Natural Sciences,Agriculture,chinois,1,1,0.05263157894736842,2.203972804325936,2.203972804325936
