master_id,year,volume,author,author_raw,subject,subject_l1,subject_l2,subject_raw,subject_raw_norm,subject_split,title,year_start,year_end,notes,time_window,n_subjects_article_all,n_subjects_article_network,subject_weight,mapping_note
MASTER_00153,1877,NS 11,"Stent, G. C.","Stent, G. C.",Manners and customs,Anthropology and Social Customs,Manners and customs,Manners and customs,manners and customs,manners,Chinese eunuchs,1877,1877,,1868-1877,1,1,1.0,Corrected exact old subject: Manners and customs
MASTER_00154,1877,NS 12,"Mayers, W. F.","Mayers, W. F.",Manners and customs,Anthropology and Social Customs,Manners and customs,Manners and customs,manners and customs,manners,On the Stone figures at Chinese tombs and the offering of living sacrifices,1878,1878,,1878-1887,1,1,1.0,Corrected exact old subject: Manners and customs
MASTER_00155,1877,NS 12,"Parker, E. H.","Parker, E. H.",Literature,Literature and Language,Literature,Literature,literature,literature,The Comparative study of Chinese dialects,1878,1878,,1878-1887,1,1,1.0,
MASTER_00156,1877,NS 12,"Hosie, A.","Hosie, A.",Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,"Droughts in China, A. D. 620-1643",1878,1878,,1878-1887,1,1,1.0,
MASTER_00157,1877,NS 12,"Hosie, A.","Hosie, A.",Astronomy,Natural Sciences,Astronomy,Astronomy,astronomy,astronomy,"Sunspots and sun - shadows observed in China, B. C. 28 - A. D. 1617",1878,1878,,1878-1887,1,1,1.0,
MASTER_00158,1877,NS 12,"Kingsmill, T. W.","Kingsmill, T. W.",Religion,Religion and Philosophy,Religion,Religion,religion,religion,"The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king """,1878,1878,,1878-1887,1,1,1.0,
MASTER_00159,1877,NS 12,"Fritsche, H.","Fritsche, H.",Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,The Climate of Eastern Asia,1878,1878,,1878-1887,1,1,1.0,
MASTER_00160,1878,NS 13,"Fauvel, A. A.","Fauvel, A. A.",Zoology,Natural Sciences,Zoology,Zoology,zoology,zoology,Alligators in China *,1879,1879,,1878-1887,1,1,1.0,
MASTER_00161,1878,NS 13,"Schulze, F. W.","Schulze, F. W.",Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,Periodical change of terrestrial magnetism *,1879,1879,,1878-1887,1,1,1.0,
MASTER_00162,1878,NS 13,"Mollendorf, P. G. von","Mollendorf, P. G. von",Law,"Politics, Government, and Law",Law,Law,law,law,The Family law of the Chinese and its comparative relations with that of other nations,1879,1879,,1878-1887,1,1,1.0,
MASTER_00163,1878,NS 13,"Kingsmill, T. W.","Kingsmill, T. W.",Biography,History and Chronology,Biography,Biography,biography,biography,"The story of Shun, the Emperor",1879,1879,"Shun, <U+821C>",1878-1887,1,1,1.0,
MASTER_00164,1879,NS 14,"Kingsmill, T. W.","Kingsmill, T. W.",History,History and Chronology,History,History,history,history,The Intercourse of China with Central and Western Asia in the Second Century B.C.,1879,1879,,1878-1887,1,1,1.0,
MASTER_00165,1879,NS 14,"Rhein, J.","Rhein, J.",Antiquities,Arts and Archaeology,Antiquities,Antiquities,antiquities,antiquities,Rock inscriptions at the north side of Yentai Hill *,1879,1879,"YENTAI HILL, Yantai Hill, <U+70DF><U+53F0><U+5C71>",1878-1887,1,1,1.0,
MASTER_00166,1879,NS 14,"Haas, J.","Haas, J.",Numismatics,Arts and Archaeology,Numismatics,Numismatics,numismatics,numismatics,Siamese coinage *,1879,1879,,1878-1887,1,1,1.0,
MASTER_00167,1880,NS 15,"Bretschneider, E.","Bretschneider, E.",Botany,Natural Sciences,Botany,Botany,botany,botany,Early European researches into the flora of China,1880,1880,,1878-1887,1,1,1.0,
MASTER_00168,1880,NS 15,"Bushell, S. W.","Bushell, S. W.",Numismatics,Arts and Archaeology,Numismatics,Numismatics,numismatics,numismatics,Coins of the present dynasty of China *,1880,1880,,1878-1887,1,1,1.0,
MASTER_00169,1880,NS 15,"Balfour, F. H.","Balfour, F. H.",Philosophy,Religion and Philosophy,Philosophy,Philosophy,philosophy,philosophy,"The "" Naturalistic "" philosophy of China",1880,1880,,1878-1887,1,1,1.0,
MASTER_00170,1881,NS 16,"Guppy, H. B.","Guppy, H. B.",Hydrology,Natural Sciences,Hydrology,Hydrology,hydrology,hydrology,"Notes on the hydrology of the Yang - tse, the Yellow River, and the Pei - ho *",1881,1881,,1878-1887,1,1,1.0,
MASTER_00171,1881,NS 16,"Guppy, H. B.","Guppy, H. B.",Geology,Natural Sciences,Geology,Geology,geology,geology,"Some notes on the geology of Takow, Formosa",1881,1881,,1878-1887,1,1,1.0,
MASTER_00172,1881,NS 16,,,Botany,Natural Sciences,Botany,Botany,botany,botany,"Botanicon Sinicum Part I. Notes on Chinese botany, from native and Western sources",1881,1881,,1878-1887,1,1,1.0,
MASTER_00173,1881,NS 16,"Dechevrens, Le P. M.","Dechevrens, Le P. M.",Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,"The Climate of Shanghai, its meteorological conditions",1881,1881,,1878-1887,1,1,1.0,
MASTER_00174,1882,NS 17,"Giles, H. A.","Giles, H. A.",Literature,Literature and Language,Literature,Literature,literature,literature,Notes on Chinese composition,1882,1882,,1878-1887,1,1,1.0,
MASTER_00175,1882,NS 17,"Guppy, H. B.","Guppy, H. B.",Geology,Natural Sciences,Geology,Geology,geology,geology,On the geology of the neighbourhood of Nagasaki,1882,1882,,1878-1887,1,1,1.0,
MASTER_00176,1882,NS 17,"Anderson, G. C.","Anderson, G. C.",Travel,Geography and Travel,Travel,Travel,travel,travel,Notes on the south coast of Saghalien,1882,1882,"SAGHALIEN, Sakhalin, <U+5E93><U+9875><U+5C9B>/<U+8428><U+54C8><U+6797><U+5C9B>",1878-1887,1,1,1.0,
