from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_217,S_8,"Freeman, M.",Philosophy,Religion and Philosophy,MASTER_00501,"Yen Hsi Chai, a 17th century philosopher",NS 57,1926,1926,1918-1927,1,Philosophy
A_218,S_29,"Teesdale, J. H.",Biography,History and Chronology,MASTER_00502,"Li Sin Cheng, the Chung Wang or "" Faithful Prince """,NS 57,1926,1926,1918-1927,1,Biography
A_183,S_11,"Gee, N. G.",Zoology,Natural Sciences,MASTER_00503,Chinese fresh water sponges,NS 57,1926,1926,1918-1927,1,Zoology
A_206,S_11,"Torrance, T.",Zoology,Natural Sciences,MASTER_00504,"Chinese cat, The",NS 57,1926,1926,1918-1927,1,Zoology
A_208,S_3,"Shirokogoroff, S. M.",Ethnology,Anthropology and Social Customs,MASTER_00505,Northern Tungus migrations in the Far East,NS 57,1926,1926,1918-1927,1,Ethnology
A_210,S_11,"Wilder, G. D. and Hubbard, H. W.",Zoology,Natural Sciences,MASTER_00506,Corrections and additions to the list of the birds of Chihli Province,NS 57,1926,1926,1918-1927,1,Zoology
A_190,S_20,"Werner, E. T. C.",Antiquities,Arts and Archaeology,MASTER_00507,"Postscript on tomb - destruction, A",NS 57,1926,1926,1918-1927,1,Antiquities
A_219,S_20,G. S. S. G.,Antiquities,Arts and Archaeology,MASTER_00508,Some notes on the remains of a phallic shrine in Japan,NS 57,1926,1926,1918-1927,1,Antiquities
A_137,S_42,"Moule, A. C.",Asia,Geography and Travel,MASTER_00509,"Siege of Saianfu and the murder of Achmach Bailo, The",NS 58,1927,1927,1918-1927,1,Asia
A_131,S_43,"Ferguson, J. C.",Political science,"Politics, Government, and Law",MASTER_00510,Political parties of the Northern Sung Dynasty,NS 58,1927,1927,1918-1927,1,Political science
A_220,S_6,"Leung, G. K.",Literature,Literature and Language,MASTER_00511,Mei Lan - Fang (the man and his art),NS 58,1927,1927,1918-1927,1,Literature
A_193,S_6,"Hudson, E.",Literature,Literature and Language,MASTER_00513,"Little Lu - fu, and looking at a painting by Wang - tzu",NS 58,1927,1927,1918-1927,1,Literature
A_197,S_11,"Jacot, A. P.",Zoology,Natural Sciences,MASTER_00514,"Genus gueldenstaedtia (leguminoseae), The",NS 58,1927,1927,1918-1927,1,Zoology
A_175,S_29,"Morgan, E.",Biography,History and Chronology,MASTER_00515,Chou - kung ; The Duke of Chou,NS 58,1927,1927,1918-1927,1,Biography
A_221,S_3,"Kojeuroff, G. P.",Ethnology,Anthropology and Social Customs,MASTER_00516,Some contributions to the anthropology of the buriats,NS 58,1927,1927,1918-1927,1,Ethnology
A_222,S_31,"MacGillivray, D.",Geography,Geography and Travel,MASTER_00519,"Jews of Honan, The",NS 59,1928,1928,1928-1937,1,Geography
A_131,S_34,"Ferguson, J. C.",Porcelain,Arts and Archaeology,MASTER_00520,Shapes of porcelain vessels,NS 59,1928,1928,1928-1937,1,Porcelain
A_223,S_31,"Hayes, L. N.",Geography,Geography and Travel,MASTER_00521,The Great Wall of China,NS 59,1928,1928,1928-1937,1,Geography
A_217,S_43,"Freeman, M.",Political science,"Politics, Government, and Law",MASTER_00522,"Ch'ing dynasty criticism of Sung politico - philosophy, The",NS 59,1928,1928,1928-1937,1,Political science
A_224,S_41,Wang Kuo Wei（王国维）,Folklore,Anthropology and Social Customs,MASTER_00523,Chinese foot measures of the past nineteen centuries,NS 59,1928,1928,1928-1937,1,Folklore
A_225,S_6,"Meerkerk, M. E. R. F.",Literature,Literature and Language,MASTER_00524,"A German translation of the Hsi Hsiang Chi, A review",NS 59,1928,1928,1928-1937,1,Literature
A_226,S_10,"Phelps, D. L.",Education,Education,MASTER_00525,"Place of Music in the Platonic and Confucian systems of moral education, The",NS 59,1928,1928,1928-1937,1,Education
A_227,S_18,"Englaender, A. L.",Geology,Natural Sciences,MASTER_00526,"Origin and growth of deserts and the encroachment of the desert on North - China, The",NS 59,1928,1928,1928-1937,1,Geology
A_228,S_30,"White, L. M.",Religion,Religion and Philosophy,MASTER_00527,Early Christianity in Japan,NS 59,1928,1928,1928-1937,1,Religion
A_197,S_22,"Jacot, A. P.",Botany,Natural Sciences,MASTER_00529,Contributions from the Herbarium of the Shantung Christian University,NS 59,1928,1928,1928-1937,1,Botany
A_229,S_29,Hu Shih（胡适）,Biography,History and Chronology,MASTER_00530,"Wang Mang, the socialist emperor of nineteen centuries ago",NS 59,1928,1928,1928-1937,1,Biography
A_230,S_6,"Biallas, F. X.",Literature,Literature and Language,MASTER_00531,"K'u Yuan, his life and poems",NS 59,1928,1928,1928-1937,1,Literature
A_193,S_6,"Hudson, E.",Literature,Literature and Language,MASTER_00532,"Kite's message, The",NS 59,1928,1928,1928-1937,1,Literature
A_137,S_42,"Moule, A. C.",Asia,Geography and Travel,MASTER_00533,"Murder of Achmach Bailo, The",NS 59,1928,1928,1928-1937,1,Asia
A_231,S_42,Chang Hsin-hai（张歆海）,Asia,Geography and Travel,MASTER_00534,Some types of Chinese historical thought,NS 60,1929,1929,1928-1937,1,Asia
A_186,S_40,"Mason, I.",Islam,Religion and Philosophy,MASTER_00536,"Mohammedans of China : when, and how they first came, The",NS 60,1929,1929,1928-1937,1,Islam
A_163,S_3,"Chatley, H.",Ethnology,Anthropology and Social Customs,MASTER_00537,Did ancient Chinese culture come from Egypt ?,NS 60,1929,1929,1928-1937,1,Ethnology
A_232,S_28,"Kann, E.",Economics,"Economy, Trade, and Technology",MASTER_00538,"Gold in China : in its historical, practical and financial aspects",NS 60,1929,1929,1928-1937,1,Political Economy
A_227,S_18,"Englaender, A. L.",Geology,Natural Sciences,MASTER_00539,Some notes on Aisa's Ice Age,NS 60,1929,1929,1928-1937,1,Geology
A_233,S_22,"Liu, J. C.",Botany,Natural Sciences,MASTER_00541,"List of plant names included in the Cowdry Chihli flora, not recorded in the Index Florae Sinensis and its two supplements, A",NS 60,1929,1929,1928-1937,1,Botany
A_234,S_20,"Talbot, R. M.",Antiquities,Arts and Archaeology,MASTER_00542,"List of legible inscriptions on stones in the foreign cemetery on Double Island, Swatow, 1922",NS 60,1929,1929,1928-1937,1,Antiquities
A_235,S_26,"Buxton, D.",History,History and Chronology,MASTER_00544,"Light thrown on ancient Chinese history by recent archaeological discoveries, The *",NS 61,1930,1930,1928-1937,1,"History, Ancient"
A_204,S_31,"Fischer, E. S.",Geography,Geography and Travel,MASTER_00546,"Journey to the Tung Ling and a visit to the desecrated Eastern Mausolea of the Ta Tsing dynasty, in 1929, A",NS 61,1930,1930,1928-1937,1,Geography
A_131,S_6,"Ferguson, J. C.",Literature,Literature and Language,MASTER_00547,"Stories in Chinese painting, II",NS 61,1930,1930,1928-1937,1,Literature
A_236,S_26,"Soothill, W. E.",History,History and Chronology,MASTER_00551,Kingship in China *,NS 61,1930,1930,1928-1937,1,"History, Ancient"
A_120,S_8,"Forke, A.",Philosophy,Religion and Philosophy,MASTER_00553,"Philosopher Yang Hsiung, The *",NS 61,1930,1930,1928-1937,1,Philosophy
A_165,S_31,"Ayscough, F. W.",Geography,Geography and Travel,MASTER_00554,"Symbolism of the Forbidden City, Peking, The *",NS 61,1930,1930,1928-1937,1,Geography
A_201,S_6,"Budd, C.",Literature,Literature and Language,MASTER_00556,Chinese poems,NS 61,1930,1930,1928-1937,1,Literature
A_237,S_19,Wu Lieh-teh（伍连德）,Medicine,Natural Sciences,MASTER_00557,Early days of Western medicine in China,NS 62,1931,1931,1928-1937,1,Medicine
A_238,S_16,Coching Chu（竺可桢）,Astronomy,Natural Sciences,MASTER_00558,Climatic changes during historic time in China,NS 62,1931,1931,1928-1937,1,Astronomy
A_239,S_22,"Porterfield, W. M.",Botany,Natural Sciences,MASTER_00559,Bamboos in China,NS 62,1931,1931,1928-1937,1,Botany
