master_id,time_window,author_raw,title,year_start,term
MASTER_00047,1858-1867,"Swinhoe, R.",Birds and beasts of Formosa,1865,formosa
MASTER_00048,1858-1867,"Brown, S. R.",Annals of the Western Ocean,1865,annals
MASTER_00048,1858-1867,"Brown, S. R.",Annals of the Western Ocean,1865,western
MASTER_00048,1858-1867,"Brown, S. R.",Annals of the Western Ocean,1865,ocean
MASTER_00049,1858-1867,"Collins, V. D.","Sorgo, or Northern Chinese sugar cane",1865,sorgo
MASTER_00049,1858-1867,"Collins, V. D.","Sorgo, or Northern Chinese sugar cane",1865,northern
MASTER_00049,1858-1867,"Collins, V. D.","Sorgo, or Northern Chinese sugar cane",1865,sugar
MASTER_00049,1858-1867,"Collins, V. D.","Sorgo, or Northern Chinese sugar cane",1865,cane
MASTER_00050,1858-1867,"Edkins, J.",A Visit to the Agricultural Mongols,1865,visit
MASTER_00050,1858-1867,"Edkins, J.",A Visit to the Agricultural Mongols,1865,agricultural
MASTER_00050,1858-1867,"Edkins, J.",A Visit to the Agricultural Mongols,1865,mongols
MASTER_00051,1858-1867,Bastion,The Remains of Ancient Kambodia,1865,remains
MASTER_00051,1858-1867,Bastion,The Remains of Ancient Kambodia,1865,ancient
MASTER_00051,1858-1867,Bastion,The Remains of Ancient Kambodia,1865,kambodia
MASTER_00052,1858-1867,"Kingsmill, T. W.",Retrospect of events in China and Japan,1865,retrospect
MASTER_00052,1858-1867,"Kingsmill, T. W.",Retrospect of events in China and Japan,1865,events
MASTER_00052,1858-1867,"Kingsmill, T. W.",Retrospect of events in China and Japan,1865,japan
MASTER_00053,1858-1867,"Jamieson, R. A.",The Hieroglyphic Character of the Chinese written Lan. 113,1864,hieroglyphic
MASTER_00053,1858-1867,"Jamieson, R. A.",The Hieroglyphic Character of the Chinese written Lan. 113,1864,character
MASTER_00053,1858-1867,"Jamieson, R. A.",The Hieroglyphic Character of the Chinese written Lan. 113,1864,written
MASTER_00053,1858-1867,"Jamieson, R. A.",The Hieroglyphic Character of the Chinese written Lan. 113,1864,lan
MASTER_00054,1858-1867,"Jarvie, R.",Respecting China grass,1864,respecting
MASTER_00054,1858-1867,"Jarvie, R.",Respecting China grass,1864,grass
MASTER_00055,1858-1867,"Butcher, C. H.",Notes on the funeral rites performed at the obsequies of Takee,1864,funeral
MASTER_00055,1858-1867,"Butcher, C. H.",Notes on the funeral rites performed at the obsequies of Takee,1864,rites
MASTER_00055,1858-1867,"Butcher, C. H.",Notes on the funeral rites performed at the obsequies of Takee,1864,performed
MASTER_00055,1858-1867,"Butcher, C. H.",Notes on the funeral rites performed at the obsequies of Takee,1864,obsequies
MASTER_00055,1858-1867,"Butcher, C. H.",Notes on the funeral rites performed at the obsequies of Takee,1864,takee
MASTER_00056,1858-1867,"Stronach, W. T.","Traces of the Judicium dei, or ordeal in Chinese law",1864,traces
MASTER_00056,1858-1867,"Stronach, W. T.","Traces of the Judicium dei, or ordeal in Chinese law",1864,judicium
