L1,rank,term,tfidf_score,raw_count,document_count,document_frequency
"Economy, Trade, and Technology",12,trade,0.1469819002300183,345,22,0.6666666666666666
"Economy, Trade, and Technology",13,canal,0.14508374311744207,209,10,0.30303030303030304
"Economy, Trade, and Technology",14,dam,0.14294092472859546,74,2,0.06060606060606061
"Economy, Trade, and Technology",15,plus,0.14000633700343573,131,7,0.21212121212121213
"Economy, Trade, and Technology",16,sommes,0.13535048397160418,64,3,0.09090909090909091
"Economy, Trade, and Technology",17,province,0.13201583085956498,392,25,0.7575757575757576
"Economy, Trade, and Technology",18,tax,0.1299062658007337,240,13,0.3939393939393939
"Economy, Trade, and Technology",19,tls,0.12572664604917638,151,11,0.3333333333333333
"Economy, Trade, and Technology",20,chou,0.12355713232882068,171,13,0.3939393939393939
"Economy, Trade, and Technology",21,vers,0.12021331869074568,60,3,0.09090909090909091
"Economy, Trade, and Technology",22,millet,0.120144822540321,22,6,0.18181818181818182
"Economy, Trade, and Technology",23,shan,0.11856253311716052,226,18,0.5454545454545454
"Economy, Trade, and Technology",24,yunnan,0.11763752436429335,144,6,0.18181818181818182
"Economy, Trade, and Technology",25,peking,0.11260246613665308,259,19,0.5757575757575758
History and Chronology,1,king,0.366909356145945,1089,59,0.8428571428571429
History and Chronology,2,yuan,0.35719792548870916,661,27,0.38571428571428573
History and Chronology,3,emperor,0.3530899542656469,833,56,0.8
History and Chronology,4,city,0.32333973106395075,1096,47,0.6714285714285714
History and Chronology,5,wang,0.2741072197210101,440,37,0.5285714285714286
History and Chronology,6,shanghai,0.25513193985315047,404,34,0.4857142857142857
History and Chronology,7,government,0.23258780897061848,475,53,0.7571428571428571
History and Chronology,8,foreign,0.23065791286904297,460,45,0.6428571428571429
History and Chronology,9,tsi,0.21653324501976917,167,17,0.24285714285714285
History and Chronology,10,son,0.20933982858842942,539,46,0.6571428571428571
History and Chronology,11,tai,0.20413189236873067,254,33,0.4714285714285714
History and Chronology,12,river,0.19818283737902373,727,50,0.7142857142857143
History and Chronology,13,peking,0.1947688984683418,366,42,0.6
History and Chronology,14,shih,0.19444879073272048,166,31,0.44285714285714284
History and Chronology,15,sent,0.18173879754364716,577,52,0.7428571428571429
History and Chronology,16,events,0.1763268190163032,300,39,0.5571428571428572
History and Chronology,17,heaven,0.174175007810321,269,41,0.5857142857142857
History and Chronology,18,reign,0.16865756063959744,252,41,0.5857142857142857
History and Chronology,19,japan,0.1619246943126056,211,29,0.4142857142857143
History and Chronology,20,prince,0.1618416120616096,410,48,0.6857142857142857
History and Chronology,21,empire,0.16021596914347028,405,53,0.7571428571428571
History and Chronology,22,han,0.15946580595387944,370,35,0.5
History and Chronology,23,century,0.15751359112986862,455,40,0.5714285714285714
History and Chronology,24,hao,0.15708509418762964,73,12,0.17142857142857143
History and Chronology,25,capital,0.15449260740034504,372,47,0.6714285714285714
Military,1,tls,0.043276784853770456,63,1,0.5
Military,2,manchu,0.027477323716679655,40,1,0.5
Military,3,gunpowder,0.01713537226487256,47,1,0.5
Military,4,tso,0.016486394230007792,24,1,0.5
Military,5,banners,0.0157994611370908,23,1,0.5
Military,6,pay,0.014425594951256818,21,1,0.5
Military,7,banner,0.013738661858339827,20,1,0.5
Military,8,total,0.012364795672505846,18,1,0.5
Military,9,peking,0.011989608650836215,25,2,1.0
Military,10,infantry,0.011677862579588853,17,1,0.5
Military,11,board,0.010782736363256006,23,2,1.0
Military,12,troops,0.00961706330083788,14,1,0.5
Military,13,guards,0.008930130207920889,13,1,0.5
Military,14,bannermen,0.008930130207920889,13,1,0.5
Military,15,rice,0.008930130207920889,13,1,0.5
Military,16,century,0.008789666465077535,33,2,1.0
Military,17,warfare,0.008749977326743437,24,1,0.5
Military,18,mongol,0.008598346969126435,19,2,1.0
Military,19,military,0.008429088170521584,21,2,1.0
Military,20,passage,0.008385394938129126,23,1,0.5
Military,21,cavalry,0.008243197115003896,12,1,0.5
Military,22,che,0.007752052976102179,29,2,1.0
Military,23,nan,0.007556264022086906,11,1,0.5
Military,24,ling,0.007556264022086906,11,1,0.5
Military,25,land,0.007556264022086906,11,1,0.5
