model,K,topic_id,top_words,cross_model_matches,human_readable_interpretation
corex_unanchored,25,18,night; morning; water; food; foot; trees; ground; evening; deep; dark; together; bright; wind; front; hard; rain; sun; fall; strong; rose,45,
corex_unanchored,25,19,mile; places; level; bank; banks; cultivated; rivers; yards; tea; interior; salt; plain; district; considerable; supply; dry; runs; sand; soil; situated,53,
corex_unanchored,25,20,chine; une; aux; se; partie; deux; dont; temps; chinois; qu; celui; les; terre; autres; cette; pendant; dans; trois; du; jusqu,32,
corex_unanchored,25,21,yu; chu; wu; wen; ti; wei; shu; wang; ien; sung; ch; kung; ang; han; ai; cheng; shun; dynasty; shang; yin,61,
corex_unanchored,25,22,similar; seen; form; used; four; gold; placed; probably; written; parts; characters; originally; mountain; iron; certain; seven; curious; legend; pieces; table,78,
corex_unanchored,25,23,small; higher; produce; colour; consists; becomes; entirely; forming; forms; close; lower; sort; reaches; scale; extreme; equally; takes; somewhat; peculiar; cover,42,
corex_unanchored,25,24,style; inscriptions; bearing; precious; intended; rendered; inscription; letters; copper; celebrated; succession; europeans; inscribed; alike; principal; productions; published; executed; observed; image,23,
corex_unanchored,30,0,heaven; death; emperor; son; evil; father; person; court; heart; spirit; saying; spirits; life; god; act; peace; master; born; dynasty; people,119,
corex_unanchored,30,1,women; told; away; heard; took; go; wife; head; asked; night; gave; brother; keep; story; saw; home; husband; family; young; arrived,50,
corex_unanchored,30,2,chu; yen; yu; lu; chih; wu; yuan; wang; kung; chin; feng; ti; ai; ching; chen; chi; ien; ts; shih; wei,45,
corex_unanchored,30,3,sides; low; thick; covered; flat; upper; level; height; side; yellow; smaller; hills; blue; dry; fine; grass; steep; outer; deep; rises,40,
corex_unanchored,30,4,come; know; case; alone; back; way; rather; get; course; idea; cannot; whole; true; going; think; better; right; follow; either; enough,20,
corex_unanchored,30,5,foot; water; hair; eyes; food; trees; bright; morning; ground; fish; tree; beautiful; wild; evening; looking; leaves; dried; black; hard; flowers,80,
corex_unanchored,30,6,world; things; mind; worship; human; sense; conception; meaning; earth; sacred; philosophy; principles; age; religious; knowledge; doctrine; buddhist; confucius; taoist; doctrines,47,
corex_unanchored,30,7,passed; left; open; pass; near; city; road; reached; spot; entered; reach; walls; taking; distance; gate; cut; noticed; next; wall; lying,62,
corex_unanchored,30,8,coast; miles; east; island; sea; eastern; islands; south; town; river; mile; port; natives; northern; north; ports; southern; thence; bank; bay,70,
corex_unanchored,30,9,always; really; means; already; even; reason; ideas; say; might; question; whether; subject; shall; general; necessary; fact; certain; possible; could; perhaps,23,
corex_unanchored,30,10,de; la; des; vol; et; le; les; quoted; asia; century; text; paris; french; edition; india; asiatic; sur; languages; vi; persian,73,
corex_unanchored,30,11,went; hands; set; whose; year; making; ill; account; sent; soldiers; daily; rule; times; twenty; hundred; lost; allowed; bringing; authority; added,55,
corex_unanchored,30,12,origin; ancient; term; states; says; later; modern; period; history; gives; earlier; note; according; connection; based; mentioned; corresponding; complete; author; instance,50,
corex_unanchored,30,13,died; return; received; affairs; held; state; appointed; became; came; chief; ordered; minister; possession; refused; duties; money; army; majesty; war; escape,18,
corex_unanchored,30,14,men; thought; without; nothing; put; good; man; days; full; become; believe; let; dead; able; personal; us; indeed; together; fire; leave,49,
corex_unanchored,30,15,feet; wood; red; white; stone; top; eye; animals; appearance; square; green; kinds; stones; shape; hot; bridges; wooden; wind; tiger; doors,78,
corex_unanchored,30,16,everything; never; carried; still; end; brought; every; looked; since; make; ever; others; day; fell; began; led; sight; thing; turned; doubt,31,
corex_unanchored,30,17,imperial; capital; military; officers; official; office; private; governor; empire; public; officials; provinces; civil; palace; reign; service; cities; post; viceroy; province,20,
corex_unanchored,30,18,trade; per; price; merchants; quantity; canton; commerce; supply; commercial; tael; cost; england; produce; information; industry; hongkong; enterprise; taels; increased; report,57,
corex_unanchored,30,19,une; chine; aux; orientalis; se; celui; temps; partie; der; sinensis; terre; nord; cette; chinois; chinensis; vulgaris; nom; deux; japonica; autres,30,
corex_unanchored,30,20,law; government; bring; business; effect; soon; charge; pay; receive; force; friends; paid; duty; control; future; among; proper; persons; manner; matters,50,
corex_unanchored,30,21,along; west; round; form; peculiar; seen; similar; high; front; connected; within; curious; features; mountains; forms; placed; space; formed; shown; closely,44,
corex_unanchored,30,22,book; words; written; translated; title; wrote; books; style; knowing; translation; language; sound; scholar; purpose; friend; learning; practice; sentence; characters; powers,45,
corex_unanchored,30,23,successful; established; new; progress; late; political; powerful; american; terms; nations; policy; independent; proved; europe; interests; necessity; past; views; nation; advanced,14,
corex_unanchored,30,24,consider; clearly; system; elements; natural; basis; principle; direct; properly; exactly; simple; serious; exercise; extraordinary; absolute; action; contrary; holds; consideration; non,9,
corex_unanchored,30,25,circumstances; amount; considerable; extent; local; months; view; deal; condition; previously; especially; highest; causes; visited; throughout; greatly; continue; somewhat; results; difficulties,0,
corex_unanchored,30,26,kia; tsin; hien; ki; si; wan; kwei; kiang; kwang; tsing; hwang; hing; kien; 1st; sin; 4th; siang; sz; 3rd; hwa,21,
corex_unanchored,30,27,larger; plain; interior; almost; rapid; purposes; large; average; scale; quantities; enormous; mountainous; depth; varies; largest; channel; semi; rapidly; fertile; masses,33,
corex_unanchored,30,28,boats; salt; boat; goods; cotton; rice; foreigners; tea; iron; junks; provisions; cargo; oil; company; traffic; silver; exchange; cash; sugar; captain,60,
corex_unanchored,30,29,mu; pa; shan; dragon; produced; gold; describes; eight; tortoise; die; represents; fifth; stands; hang; fat; shui; intended; en; sixth; preserved,45,
lda,10,0,cash; silver; taels; used; inches; coins; money; copper; reverse; currency; gold; called; notes; law; family; value; province; small; dynasty; instruments,152,
lda,10,1,man; men; people; day; said; life; could; heaven; us; good; way; upon; without; even; thus; old; among; nature; called; world,99,
lda,10,2,mm; july; temperature; mean; june; asia; eastern; year; peking; sea; northern; aug; sept; annual; oct; observations; table; dec; jan; japan,110,
lda,10,3,river; feet; water; city; miles; south; large; north; small; road; west; island; high; side; sea; east; day; bank; shan; country,136,
lda,10,4,de; the; of; la; et; le; les; des; and; du; king; to; vol; tong; manchu; in; mr; en; is; que,105,
lda,10,5,shanghai; work; dr; year; mr; history; new; foreign; summer; characters; period; form; society; books; book; however; peking; general; land; given,120,
lda,10,6,un; une; on; qu; plus; ne; se; cette; dont; chine; cheo; fut; aux; ont; deux; lui; nom; était; bien; autres,23,
lda,10,7,ch; name; dynasty; emperor; wu; ts; ancient; king; ai; yu; yuan; called; ang; city; see; shi; year; history; han; lu,182,
