model,K,topic_id,top_words,representative_documents,dominant_decades,dominant_L1,dominant_L2,suggested_label,researcher_label,interpretation_notes,keep_merge_drop
lda,30,12,man; people; men; confucius; life; nature; way; without; heaven; said; good; things; mind; thus; tzu; world; therefore; cannot; says; music,"The "" Naturalistic "" philosophy of China - Balfour, F. H. - 1880 - _1880-1881_03.txt | Cosmic spirit, The - Morgan, E. - 1931 - _1930-1931_27.txt | Confucianism, Democracy and nationalism - Lu Yen - Ying - 1931 - _1930-1931_26.txt | Chinese nation and the doctrine of the golden mean, The - Tsai Yuen - Pei - 1931 - _1930-1931_24.txt | Wang - chung and Plato on death and immortality - Forke, A. - 1896 - XXXIII_1896_02.txt",1930s | 1920s | 1910s,Religion and Philosophy | Education | Literature and Language,"Taoism | Philosophy | History | History, Ancient",,,,
lda,30,13,used; inches; dynasty; ch; instruments; ku; ancient; called; instrument; musical; foot; notes; plate; bamboo; see; small; ti; end; inch; yu,"Music of China, The * - Kingsmill, T. W. - 1910 - XXXIX_1908_01.txt | Short notes on Chinese instruments of music * - Dennys, N. B. - 1873 - 1874_07.txt | Chinese foot measures of the past nineteen centuries - Wang Kuo Wei（王国维） - 1928 - _1928-1929_06.txt | Short sketch of the Chinese game of chess, Seang - kh'e, A * - Hollingworth, H. G. - 1866 - 1866_08.txt | Shapes of porcelain vessels - Ferguson, J. C. - 1928 - _1928-1929_03.txt",1910s | 1870s | 1850s,Arts and Archaeology | Military | Natural Sciences | Anthropology and Social Customs,Music | Porcelain | Folklore,,,,
lda,30,14,art; hsi; work; figures; sung; dynasty; nature; human; ming; chu; writing; beauty; practice; mind; ch; study; book; law; heaven; philosophy,"Theistic import of the Sung philosophy, The - Bruce, J. P. - 1918 - XLIX_1918_10.txt | Was Chu Hsi a materialist ? - Warren, G. G. - 1924 - _1923-1924_22.txt | Culture, the basis of Chinese art - Ferguson, J. C. - 1923 - _1923-1924_07.txt | Yen Hsi Chai, a 17th century philosopher - Freeman, M. - 1926 - _1926-1927_06.txt | Early Chinese bronzes * - Ferguson, J. C. - 1916 - 1916_01.txt",1930s | 1910s | 1920s,Education | Arts and Archaeology | Religion and Philosophy,Bronzes | Decorative arts | Porcelain,,,,
lda,30,15,taels; salt; silver; cash; law; per; year; money; gold; tael; government; land; shanghai; foreign; value; tax; notes; tls; province; currency,"Notes on Chinese banking system in Shanghai - Ferguson, J. C. - 1906 - XXXVII_1906_03.txt | Scarcity of copper cash and the rise in prices - Taylor, F. E. - 1896 - XXXIII_1896_04.txt | Chinese revenue - Parker, E. H. - 1894 - _1895-1896_03.txt | Currency in China * - Morse, H. B. - 1907 - XXXVIII_1907_01.txt | Chinese guilds or chambers of commerce and trades unions - Macgowan, D. J. - 1886 - XXI_1886_01.txt",1900s | 1890s | 1880s,"Economy, Trade, and Technology | Politics, Government, and Law | Military | Natural Sciences",Economics | Government | Numismatics,,,,
lda,30,16,year; yu; ancient; king; day; name; chow; sun; old; pao; called; month; ch; moon; find; history; however; modern; period; still,"THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS. - Thos. W. KINGSMILL - 1898 - XXXII_1897_01.txt | THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS. - Thos. W. KINGSMILL - 1898 - _1898-1899_01.txt | A Comparative table of the ancient lunar asterisms - Kingsmill, T. W. - 1891 - XXVI_1891_02.txt | A Comparative table of the ancient lunar asterisms - Kingsmill, T. W. - 1891 - 1891_04.txt | The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king "" - Kingsmill, T. W. - 1877 - XII_1877_05.txt",1890s | 1870s | 1930s,History and Chronology | Anthropology and Social Customs | Religion and Philosophy,"Astronomy | Chronology, Historical | Biography",,,,
lda,30,17,ch; ts; name; ao; ai; wu; chi; yang; yu; ing; fu; lu; ang; shih; chu; ien; shu; ma; chou; see,"The Comparative study of Chinese dialects - Parker, E. H. - 1877 - XII_1877_02.txt | The Comparative study of Chinese dialects - Parker, E. H. - 1877 - 1878_02.txt | Chinese names of plants ; a preliminary list of the trees and shrubs of North Honan - Hers, J. - 1922 - _1922_08.txt | Chinese names of plants - Henry, A. - 1887 - XXII_1887_15.txt | Salt administration of Ssuch'uan, The - Rosthorn, A. von - 1892 - XXVII_1892_01.txt",1870s | 1920s | 1930s,"Literature and Language | Military | Natural Sciences | Politics, Government, and Law",Painting | Language and languages | Political science,,,,
lda,30,18,de; les; la; et; le; king; tong; du; des; mr; en; que; garnier; qui; il; son; dans; nous; gate; art,"Narrative of recent events in Tong - king - Cordier, H. - 1874 - IX_1875_05.txt | Retrospect of events in China, 1873 - Editorial Committee - 1873 - 1874_09_retrospects_of_events.txt | Where was Ta - ts ' in ? - Allen, H. J. - 1886 - XXI_1886_03.txt | The Seaports of India and Ceylon - Phillips, G. - 1885 - 1885_10.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - 1885_12_list_of_books.txt",1870s | 1880s | 1890s,History and Chronology | Geography and Travel | Anthropology and Social Customs,"History, Modern (20th century) | Antiquities | Geography",,,,
lda,30,19,temple; stone; emperor; dynasty; city; tablet; imperial; hall; heaven; feet; wall; temples; high; side; ai; used; gate; palace; built; men,"State religion of china during the Manchu Dynasty, The * - Williams, E. T. - 1913 - 1913_02.txt | Chinese architecture - Edkins, J. - 1889 - _1930-1931_03.txt | Symbolism of the Forbidden City, Peking, The * - Ayscough, F. W. - 1930 - _1930-1931_11.txt | T'ai Shan * - Moule, A. C. - 1912 - XLIII_1912_10.txt | Chinese architecture - Edkins, J. - 1889 - XXIV_1890_08.txt",1910s | 1920s | 1940s,Arts and Archaeology | Literature and Language | Religion and Philosophy,Architecture | Confucianism | Sculpture,,,,
lda,30,20,summer; drought; spring; autumn; chihli; shensi; honan; shansi; year; hupeh; kiangsu; chehkiang; shantung; kiangsi; hunan; provinces; rev; fuhkien; winter; land,"Droughts in China, A. D. 620-1643 - Hosie, A. - 1877 - XII_1877_03.txt | Droughts in China, A. D. 620-1643 - Hosie, A. - 1877 - 1878_03.txt | Coins of the Republic of China * - Ros, G. - 1917 - 1917_15.txt | Coins of the Republic of China * - Ros, G. - 1917 - 1917_14.txt | ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT. - NATALIS RONDOT - 1898 - XXXII_1897_03.txt",1870s | 1890s | 1910s,"Arts and Archaeology | Natural Sciences | Economy, Trade, and Technology",Numismatics | Meteorology | Astronomy,,,,
lda,30,21,us; could; mr; day; came; country; people; men; government; sent; japanese; foreign; see; japan; last; canton; english; soon; treaty; said,"1911 - 1911_01.txt | Narrative of the American Embassy to Peking - Williams, S. W. - 1859 - 1860_05.txt | Visit to Simoda and Hakodadi in Japan - Foote, A. H. - 1858 - 1858_06.txt | Recollections of China prior to 1840 - Williams, S. W. - 1873 - 1874_01.txt | 1859 - I_1859_11_record_of_occurences_in_china.txt",1850s | 1860s | 1870s,Education | History and Chronology | Geography and Travel,"History, Modern (20th century) | Education | Meteorology",,,,
lda,30,22,magnetic; ke; chow; city; keang; ho; hoo; north; left; earth; south; tung; right; name; west; pih; tai; sun; variation; magnetism,"Periodical change of terrestrial magnetism * - Schulze, F. W. - 1878 - XIII_1879_02.txt | 1859 - 1859_07.txt | 1859 - I_1859_07.txt | Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se - Wylie, A. - 1868 - V_1868_08.txt | Coins of the Ta - ts'ing or present dynasty of China * - Wylie, A. - 1858 - 1858_03.txt",1850s | 1870s | 1860s,Natural Sciences | Arts and Archaeology | Anthropology and Social Customs,Meteorology | Astronomy | Numismatics,,,,
lda,30,23,plant; see; tree; king; name; leaves; cm; shi; plants; fruit; length; var; rice; ki; small; manchuria; white; called; ya; rh,"1920 - LI_1920_08.txt | 1920 - _1920_08.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - _1921_04.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - LII_1921_04.txt | Chinese names of plants - Henry, A. - 1887 - 1891_01.txt",1880s | 1900s | 1920s,Anthropology and Social Customs | Natural Sciences | Geography and Travel,Botany | Manners and customs | Astronomy,,,,
lda,30,24,reverse; coins; king; obverse; mint; coin; annam; currency; cash; copper; issued; son; reign; character; coinage; minor; pao; tong; last; dynasty,"Annam and its minor currency - Toda, E. - 1882 - XVII_1882_04.txt | Coinage of Corea, The * - Gardener, C. T. - 1892 - XXVII_1892_03.txt | Corea - Scherzer, F., trans. Gould, C. - 1883 - XXII_1887_07.txt | Coins of the present dynasty of China * - Bushell, S. W. - 1880 - _1880-1881_02.txt | Siamese coinage * - Haas, J. - 1879 - XIV_1879_03.txt",1890s | 1880s | 1850s,"Arts and Archaeology | Economy, Trade, and Technology | Anthropology and Social Customs","Numismatics | Chronology, Historical | Economics",,,,
lda,30,25,mm; temperature; mean; july; asia; eastern; june; aug; annual; sept; year; nov; dec; jan; feb; peking; oct; mar; table; observations,"The Climate of Eastern Asia - Fritsche, H. - 1877 - XII_1877_06.txt | The Climate of Eastern Asia - Fritsche, H. - 1877 - 1878_06.txt | Meteorological observations, April - December 1872 - Meteorological Committee - 1871 - VII_1871_16.txt | Meteorological tables, from observations made in Japan - 1859 - 1860_06.txt | Winds and weather at Chefoo - Editorial Committee - 1860 - 1860_11.txt",1870s | 1850s | 1860s,Natural Sciences | Geography and Travel | Anthropology and Social Customs,Meteorology | Astronomy | Asia,,,,
lda,30,26,family; god; heaven; religion; said; wife; name; father; marriage; law; man; mohammed; son; worship; prophet; husband; names; called; life; parents,"Chinese life of Mohammed, A - Mason, I. - 1920 - LI_1920_09.txt | Chinese life of Mohammed, A - Mason, I. - 1920 - _1920_09.txt | Exogamy in China - Wilkinson, H. P. - 1921 - _1921_05.txt | Exogamy in China - Wilkinson, H. P. - 1921 - LII_1921_05.txt | The Family law of the Chinese and its comparative relations with that of other nations - Mollendorf, P. G. von - 1878 - XIII_1879_03.txt",1920s | 1910s | 1930s,"Religion and Philosophy | Politics, Government, and Law | Anthropology and Social Customs",Islam | Judaism | Christianity,,,,
