"from","to","author","subject_l2","subject_l1","time_window","article_count","weight","first_year","last_year","titles"
"A_23","S_18","Jamieson, R. A.","History, Modern (20th century)","History and Chronology","1858-1867",1,1,1864,1864,"Retrospect of events in the north of China, 1861-1864"
"A_29","S_18","Kingsmill, T. W.","History, Modern (20th century)","History and Chronology","1858-1867",2,2,1865,1867,"Retrospect of events in China and Japan | Retrospect of events in China and Japan, 1867"
"A_11","S_18","Williams, S. W.","History, Modern (20th century)","History and Chronology","1858-1867",1,1,1859,1859,"Narrative of the American Embassy to Peking"
"A_46","S_7","Forrest, R. J.","Language and languages","Literature and Language","1858-1867",1,0.333333333333333,1867,1867,"The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books"
"A_27","S_7","Gamble, W.","Language and languages","Literature and Language","1858-1867",1,1,1864,1864,"Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *"
"A_23","S_7","Jamieson, R. A.","Language and languages","Literature and Language","1858-1867",1,1,1864,1864,"The Hieroglyphic Character of the Chinese written Lan. 113"
"A_3","S_7","Macgowan, D. J.","Language and languages","Literature and Language","1858-1867",1,1,1859,1859,"Chinese bibliography"
"A_9","S_7","Pompe van Meedervoort, J. L. C.","Language and languages","Literature and Language","1858-1867",1,1,1860,1860,"Dissection of a Japanese criminal"
"A_46","S_33","Forrest, R. J.","Literature","Literature and Language","1858-1867",1,0.333333333333333,1867,1867,"The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books"
"A_33","S_14","Jarvie, R.","Agriculture","Natural Sciences","1858-1867",1,0.333333333333333,1864,1864,"Respecting China grass"
"A_13","S_14","Robertson, D. B.","Agriculture","Natural Sciences","1858-1867",1,0.333333333333333,1859,1859,"Cotton in China"
"A_47","S_14","Simon, G. E.","Agriculture","Natural Sciences","1858-1867",1,0.333333333333333,1867,1867,"Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire"
"A_37","S_14","Williamson, A.","Agriculture","Natural Sciences","1858-1867",2,0.5,1867,1867,"Notes on the north of China, its productions and communications | Notes on the productions, chiefly mineral of Shantung"
"A_2","S_29","Wylie, A.","Astronomy","Natural Sciences","1858-1867",2,2,1866,1867,"Notes on the opinions of the Chinese with regard to eclipses | Eclipses recorded in Chinese works"
"A_31","S_19","Collins, V. D.","Botany","Natural Sciences","1858-1867",1,1,1865,1865,"Sorgo, or Northern Chinese sugar cane"
"A_3","S_19","Macgowan, D. J.","Botany","Natural Sciences","1858-1867",1,0.25,1860,1860,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries"
"A_28","S_26","Lamprey","Chemistry","Natural Sciences","1858-1867",1,1,1864,1864,"Remarks on the "" water we use "" in Shanghai"
"A_41","S_20","Bickmore, A. S.","Geology","Natural Sciences","1858-1867",1,0.5,1867,1867,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *"
"A_1","S_20","Edkins, J.","Geology","Natural Sciences","1858-1867",1,1,1867,1867,"The Bituminous coal mines west of Peking"
"A_29","S_20","Kingsmill, T. W.","Geology","Natural Sciences","1858-1867",2,2,1865,1866,"A Sketch of the Geology of Quang -tung Province | Notes on some outlying coal-fields in the south-eastern provinces of China"
"A_28","S_20","Lamprey","Geology","Natural Sciences","1858-1867",1,1,1865,1865,"Notes on the geology of the Great Plain *"
"A_3","S_20","Macgowan, D. J.","Geology","Natural Sciences","1858-1867",1,0.25,1860,1860,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries"
"A_16","S_20","Shock, W. H.","Geology","Natural Sciences","1858-1867",1,1,1860,1860,"Notes on the mineral resources of Japan, etc."
"A_37","S_20","Williamson, A.","Geology","Natural Sciences","1858-1867",1,0.25,1867,1867,"Notes on the productions, chiefly mineral of Shantung"
"A_1","S_10","Edkins, J.","Hydrology","Natural Sciences","1858-1867",1,1,1860,1860,"On the ancient mouths of Yangts<U+00EF> kiang"
"A_24","S_10","Edwards","Hydrology","Natural Sciences","1858-1867",1,1,1864,1864,"Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay"
"A_44","S_10","Ellias, N.","Hydrology","Natural Sciences","1858-1867",1,1,1867,1867,"Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal"
"A_3","S_10","Macgowan, D. J.","Hydrology","Natural Sciences","1858-1867",1,0.25,1860,1860,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries"
"A_49","S_10","The Hankow Times","Hydrology","Natural Sciences","1858-1867",1,1,1867,1867,"Flood in the Han River 1857 "" The Hankow Times """
"A_8","S_10","Ward, J.","Hydrology","Natural Sciences","1858-1867",1,1,1859,1859,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow"
"A_20","S_22","Henderson, J.","Medicine","Natural Sciences","1858-1867",1,1,1864,1864,"Medicine and medical practice of the Chinese, The"
"A_18","S_5","Courtney, C. F. A.","Meteorology","Natural Sciences","1858-1867",1,1,1860,1860,"Temperature of Hakodadi"
"A_17","S_5","Editorial Committee","Meteorology","Natural Sciences","1858-1867",1,1,1860,1860,"Winds and weather at Chefoo"
"A_10","S_5","Fedorovitch, J.","Meteorology","Natural Sciences","1858-1867",1,1,1859,1859,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai"
"A_20","S_5","Henderson, J.","Meteorology","Natural Sciences","1858-1867",1,1,1864,1864,"Notes on some of the physical causes which modify climate"
"A_26","S_5","Hollingworth and Piry","Meteorology","Natural Sciences","1858-1867",1,1,1864,1864,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan"
"A_3","S_5","Macgowan, D. J.","Meteorology","Natural Sciences","1858-1867",1,0.25,1860,1860,"On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries"
"A_4","S_5","Nicolson, F. W.","Meteorology","Natural Sciences","1858-1867",1,1,1858,1858,"On Cyclones , or the Law of Storms"
