master_id,author_id
MASTER_00564,AUTH_00212
MASTER_00565,AUTH_00043
MASTER_00566,AUTH_00136
MASTER_00567,AUTH_00001
MASTER_00568,AUTH_00178
MASTER_00569,AUTH_00111
MASTER_00570,AUTH_00272
MASTER_00571,AUTH_00094
MASTER_00572,AUTH_00169
MASTER_00573,AUTH_00191
MASTER_00574,AUTH_00092
MASTER_00575,AUTH_00075
MASTER_00576,AUTH_00143
MASTER_00577,AUTH_00232
MASTER_00578,AUTH_00132
MASTER_00579,AUTH_00196
MASTER_00580,AUTH_00075
MASTER_00581,AUTH_00153
MASTER_00582,AUTH_00197
MASTER_00583,AUTH_00191
MASTER_00584,AUTH_00300
MASTER_00585,AUTH_00021
MASTER_00586,AUTH_00075
MASTER_00587,AUTH_00084
MASTER_00588,AUTH_00076
MASTER_00589,AUTH_00043
MASTER_00590,AUTH_00232
MASTER_00591,AUTH_00209
MASTER_00592,AUTH_00089
MASTER_00593,AUTH_00044
MASTER_00594,AUTH_00226
MASTER_00595,AUTH_00102
MASTER_00596,AUTH_00075
MASTER_00597,AUTH_00043
MASTER_00598,AUTH_00264
MASTER_00599,AUTH_00170
MASTER_00600,AUTH_00090
MASTER_00601,AUTH_00232
MASTER_00602,AUTH_00044
MASTER_00603,AUTH_00159
MASTER_00604,AUTH_00295
MASTER_00605,AUTH_00246
MASTER_00606,AUTH_00163
MASTER_00607,AUTH_00060
MASTER_00608,AUTH_00162
MASTER_00609,AUTH_00006
MASTER_00610,AUTH_00075
MASTER_00611,AUTH_00061
MASTER_00612,AUTH_00075
MASTER_00613,AUTH_00043
MASTER_00614,AUTH_00097
MASTER_00615,AUTH_00295
MASTER_00616,AUTH_00219
MASTER_00617,AUTH_00061
MASTER_00618,AUTH_00232
MASTER_00619,AUTH_00027
MASTER_00620,AUTH_00204
MASTER_00621,AUTH_00060
MASTER_00622,AUTH_00039
MASTER_00623,AUTH_00251
MASTER_00624,AUTH_00097
MASTER_00625,AUTH_00196
MASTER_00626,AUTH_00101
MASTER_00627,AUTH_00089
MASTER_00628,AUTH_00251
MASTER_00629,AUTH_00097
MASTER_00630,AUTH_00191
MASTER_00631,AUTH_00255
MASTER_00632,AUTH_00287
MASTER_00633,AUTH_00251
MASTER_00634,AUTH_00221
MASTER_00635,AUTH_00191
MASTER_00636,AUTH_00097
MASTER_00637,AUTH_00295
MASTER_00638,AUTH_00251
MASTER_00639,AUTH_00221
MASTER_00640,AUTH_00097
MASTER_00641,AUTH_00060
MASTER_00642,AUTH_00269
MASTER_00643,AUTH_00062
MASTER_00644,AUTH_00216
MASTER_00645,AUTH_00076
MASTER_00646,AUTH_00075
MASTER_00647,AUTH_00016
MASTER_00648,AUTH_00227
MASTER_00649,AUTH_00251
MASTER_00650,AUTH_00076
MASTER_00651,AUTH_00231
MASTER_00652,AUTH_00007
MASTER_00653,AUTH_00236
MASTER_00654,AUTH_00081
MASTER_00655,AUTH_00128
MASTER_00656,AUTH_00303
MASTER_00657,AUTH_00042
MASTER_00658,AUTH_00099
MASTER_00659,AUTH_00236
