from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_128,S_14,"Vale, J.",Agriculture,Natural Sciences,MASTER_00291,Irrigation of the Ch'eng tu Plain,NS 33,1900,1901,1898-1907,0.25,"agriculture, industry, trade and hydrology"
A_128,S_15,"Vale, J.",Industries,"Economy, Trade, and Technology",MASTER_00291,Irrigation of the Ch'eng tu Plain,NS 33,1900,1901,1898-1907,0.25,"agriculture, industry, trade and hydrology"
A_128,S_16,"Vale, J.",Commerce,"Economy, Trade, and Technology",MASTER_00291,Irrigation of the Ch'eng tu Plain,NS 33,1900,1901,1898-1907,0.25,"agriculture, industry, trade and hydrology"
A_128,S_10,"Vale, J.",Hydrology,Natural Sciences,MASTER_00291,Irrigation of the Ch'eng tu Plain,NS 33,1900,1901,1898-1907,0.25,"agriculture, industry, trade and hydrology"
A_56,S_21,"Moule, G. E.",Confucianism,Religion and Philosophy,MASTER_00292,"Notes on the Ting - chi, or half - yearly sacrifice to Confucius *",NS 33,1900,1901,1898-1907,0.5,Confucianism and music
A_56,S_8,"Moule, G. E.",Music,Arts and Archaeology,MASTER_00292,"Notes on the Ting - chi, or half - yearly sacrifice to Confucius *",NS 33,1900,1901,1898-1907,0.5,Confucianism and music
A_129,S_35,"Mencarini, J.",Economics,"Economy, Trade, and Technology",MASTER_00293,"Philippine Chinese labour question, The",NS 33,1900,1901,1898-1907,1.0,economics
A_130,S_9,"Macklin, W. E.",Philosophy,Religion and Philosophy,MASTER_00294,Mencius and some other reformers of China,NS 33,1900,1901,1898-1907,0.25,"philosophy, religion, government and political theory"
A_130,S_37,"Macklin, W. E.",Religion,Religion and Philosophy,MASTER_00294,Mencius and some other reformers of China,NS 33,1900,1901,1898-1907,0.25,"philosophy, religion, government and political theory"
A_130,S_42,"Macklin, W. E.",Government,"Politics, Government, and Law",MASTER_00294,Mencius and some other reformers of China,NS 33,1900,1901,1898-1907,0.25,"philosophy, religion, government and political theory"
A_130,S_43,"Macklin, W. E.",Political science--Philosophy,"Politics, Government, and Law",MASTER_00294,Mencius and some other reformers of China,NS 33,1900,1901,1898-1907,0.25,"philosophy, religion, government and political theory"
