time_window,author_name,article_count,subject_count,first_year,last_year
1868-1877,"Bickmore, A. S.",1,1,1868,1868
1868-1877,"Bretschneider, E.",1,1,1876,1876
1868-1877,"Bushell, S. W.",1,1,1874,1874
1868-1877,"Camajee, D. N.",1,1,1875,1875
1868-1877,"Cordier, H.",1,1,1875,1875
1868-1877,"David, Le P. A.",1,1,1871,1872
1868-1877,"Dennys, N. B.",1,1,1874,1874
1868-1877,"Eitel, E. J.",1,1,1869,1870
1868-1877,"Ellias, N.",1,1,1868,1868
1868-1877,"Himly, K.",1,1,1869,1870
1868-1877,"Hobson, H. E.",1,1,1877,1877
1868-1877,"Holcombe, C.",1,1,1876,1876
1868-1877,"Jenkins, B.",1,1,1868,1868
1868-1877,"Little, A. J.",1,1,1876,1876
1868-1877,"Markham, J.",1,1,1869,1870
1868-1877,"Martin, W. A. P.",1,1,1877,1877
1868-1877,"McCartee, D. B.",1,1,1869,1870
1868-1877,"Medhurst, W. H.",1,1,1868,1868
1868-1877,Meteorological Committee,1,1,1871,1872
1868-1877,"Mollendorf, 0. F. von",1,1,1877,1877
1868-1877,North China Daily News,1,1,1869,1870
1868-1877,"Palladius, A.",1,1,1876,1876
1868-1877,"Preston, C. F.",1,1,1868,1868
1868-1877,"Schmidt, C.",1,1,1874,1874
1868-1877,Shanghai Meteorological Committee,1,1,1873,1873
1868-1877,"Smith, F. P.",1,1,1869,1870
1868-1877,"Taintor, E. C.",1,1,1875,1875
1868-1877,"Thompson, J.",1,1,1871,1872
1868-1877,"Viguier, S. A.",1,1,1874,1874
1868-1877,"Wylie, A.",1,1,1868,1868
1878-1887,"Hirth, F.",8,6,1882,1887
1878-1887,"Parker, E. H.",8,7,1878,1887
1878-1887,"Guppy, H. B.",5,3,1881,1883
1878-1887,"Kingsmill, T. W.",4,4,1878,1884
1878-1887,"Allen, H. J.",3,2,1886,1886
1878-1887,"Giles, H. A.",3,1,1882,1886
1878-1887,"Hosie, A.",3,3,1878,1884
1878-1887,"Carles, W. R.",2,2,1886,1887
1878-1887,"Edkins, J.",2,2,1883,1886
1878-1887,"H., F.",2,2,1885,1886
1878-1887,"Imbault-Huart, C.",2,2,1883,1884
1878-1887,"Macgowan, D. J.",2,2,1886,1886
1878-1887,"Nocentini, L.",2,2,1885,1887
1878-1887,"Phillips, G.",2,1,1885,1886
1878-1887,"Playfair, G. M. H.",2,2,1885,1886
1878-1887,"Anderson, G. C.",1,1,1882,1882
1878-1887,"Balfour, F. H.",1,1,1880,1880
1878-1887,"Becher, H. M.",1,1,1887,1887
1878-1887,"Bretschneider, E.",1,1,1880,1880
1878-1887,"Bushell, S. W.",1,1,1880,1880
1878-1887,"Dechevrens, Le P. M.",1,1,1881,1881
1878-1887,"Fauvel, A. A.",1,1,1879,1879
1878-1887,"Fritsche, H.",1,1,1878,1878
1878-1887,"Gabelentz, G. von der",1,1,1885,1885
1878-1887,"Gardener, C. T.",1,1,1884,1884
1878-1887,"Haas, J.",1,1,1879,1879
1878-1887,"Henry, A.",1,1,1887,1887
1878-1887,"Kleinwachter, G.",1,1,1883,1883
1878-1887,"Legge, J.",1,1,1886,1886
1878-1887,"Little, A. J.",1,1,1883,1883
1878-1887,"Macintyre, J.",1,1,1886,1886
1878-1887,"Mayers, W. F.",1,1,1878,1878
1878-1887,"Mollendorf, P. G. von",1,1,1879,1879
1878-1887,"Morrison, G. J.",1,1,1883,1883
1878-1887,"Moule, G. E.",1,1,1884,1884
1878-1887,"Rhein, J.",1,1,1879,1879
